2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,,,,
Private Career Colleges in Ontario,,,,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,,
ACADEMY OF LEARNING - GUELPH Total,,47,20,42.6%,,,,,,
,,,,,,,,,,
ACADEMY OF LEARNING - HAMILTON/MAIN STREET,Home Inspection Certificate,*,*,*,,,,,,
,Home Inspection Diploma,*,*,*,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
ACADEMY OF LEARNING - HAMILTON/MAIN Total,,5,3,60.0%,,,,,,
,,,,,,,,,,
ACADEMY OF LEARNING - KINGSTON,International Hospitality Management,*,*,*,,,,,,
,Medical Office Administration,*,*,*,,,,,,
ACADEMY OF LEARNING - KINGSTON Total,,*,*,*,,,,,,
,,,,,,,,,,
ACADEMY OF LEARNING - MISSISSAUGA ,Accounting And Payroll Administration,*,*,*,,,,,,
,Business Administration,9,4,44.4%,,,,,,
,Conference And Event Planner,*,*,*,,,,,,
,Home Inspection Diploma,8,2,25.0%,,,,,,
,Medical Office Assistant,6,4,66.7%,,,,,,
,Medical Office Assistant - Health Unit Coordinator Specialist,8,3,37.5%,,,,,,
,Network Administrator,*,*,*,,,,,,
,Personal Support Worker,23,12,52.2%,,,,,,
ACADEMY OF LEARNING - MISSISSAUGA Total,,61,28,45.9%,,,,,,
,, ,,,,,,,,
ACADEMY OF LEARNING - OAKVILLE,Accounting And Payroll Administration,*,*,*,,,,,,
,Business Administration,5,5,100.0%,,,,,,
,Business Office Administration,*,*,*,,,,,,
,Community Service Worker,*,*,*,,,,,,
,Computer Service Technician,*,*,*,,,,,,
,Home Inspection Certificate,*,*,*,,,,,,
,Home Inspection Diploma,*,*,*,,,,,,
,International Hospitality Management,*,*,*,,,,,,
,Medical Receptionist,*,*,*,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Personal Support Worker,20,7,35.0%,,,,,,
,Web Design Diploma,*,*,*,,,,,,
ACADEMY OF LEARNING - OAKVILLE Total,,43,22,51.2%,,,,,,
,,,,,,,,,,
ACADEMY OF LEARNING - RICHMOND HILL ,Accounting And Payroll Administration,5,1,20.0%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Business And Office Accounting Clerk,*,*,*,,,,,,
,Business Administration,*,*,*,,,,,,
,Computer Service Technician,*,*,*,,,,,,
,Computerized Accounting,*,*,*,,,,,,
,Home Inspection Certificate,*,*,*,,,,,,
,Medical Receptionist,*,*,*,,,,,,
,Medical Office Assistant Cmap Direct ,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Web Designer Diploma ,*,*,*,,,,,,
ACADEMY OF LEARNING - RICHMOND HILL Total,,24,12,50.0%,,,,,,
,,,,,,,,,,
"ACADEMY OF LEARNING - SCARBOROUGH, LAWRENCE AVE.",Accounting And Payroll Administration,5,3,60.0%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Business Administration,16,13,81.3%,,,,,,
,Call Centre Customer Service Representative,*,*,*,,,,,,
,Computerized Accounting,*,*,*,,,,,,
,Conference And Event Planner,*,*,*,,,,,,
,Home Inspection Diploma,6,3,50.0%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Payroll Supervisor Diploma,*,*,*,,,,,,
"ACADEMY OF LEARNING - SCARBOROUGH, LAWRENCE AVE. Total",,39,27,69.2%,,,,,,
,,,,,,,,,,
"ACADEMY OF LEARNING - SCARBOROUGH, WARDEN AND SHEPPARD",Accounting And Payroll Administration,7,3,42.9%,,,,,,
,Business Administration,17,10,58.8%,,,,,,
,Business Office Skills,*,*,*,,,,,,
,Call Centre Customer Representative,*,*,*,,,,,,
,Health Unit Coordinator,*,*,*,,,,,,
,Home Inspection Diploma,9,6,66.7%,,,,,,
,International Hospitality,*,*,*,,,,,,
,Medical Office Assist,8,4,50.0%,,,,,,
,Medical Receptionist,5,1,20.0%,,,,,,
,Medical Office Assistant - Health Unit Coordinator Specialist,*,*,*,,,,,,
,Network Administrator,8,4,50.0%,,,,,,
,Pc Support Specialist,*,*,*,,,,,,
,Personal Support Worker,7,1,14.3%,,,,,,
,Sales Professional,*,*,*,,,,,,
,Web Designer Diploma,*,*,*,,,,,,
"ACADEMY OF LEARNING -  SCARBOROUGH, WARDEN AND SHEPPARD Total",,74,38,51.4%,,,,,,
,,,,,,,,,,
"ACADEMY OF LEARNING - TORONTO, BAY ST.",Accounting And Payroll,30,17,56.7%,,,,,,
,Administration Assistant,8,4,50.0%,,,,,,
,Business Administration Diploma,25,17,68.0%,,,,,,
,Community Services Worker,15,11,73.3%,,,,,,
,Computerized Accounting,*,*,*,,,,,,
,Conference And Event Planner,5,2,40.0%,,,,,,
,Home Inspection,5,3,60.0%,,,,,,
,Home Inspection Diploma,23,15,65.2%,,,,,,
,Law Clerk,16,6,37.5%,,,,,,
,Marketing Coordinator,*,*,*,,,,,,
,Medical Office Assistant,45,24,53.3%,,,,,,
,Network Administrator,9,7,77.8%,,,,,,
,Paralegal,9,3,33.3%,,,,,,
,Payroll Administration Certificate,*,*,*,,,,,,
,Pc Support Specialist,*,*,*,,,,,,
,Personal Support Worker,75,41,54.7%,,,,,,
,Police Foundations,17,11,64.7%,,,,,,
,Project Administrator,*,*,*,,,,,,
,Web Designer Diploma,9,5,55.6%,,,,,,
"ACADEMY OF LEARNING - TORONTO, BAY ST. Total",,304,173,56.9%,,,,,,
,,,,,,,,,,
"ACADEMY OF LEARNING - TORONTO, FINCH AVENUE WEST",Accounting And Payroll Administration,10,6,60.0%,,,,,,
,Business And Office Accounting Clerk,*,*,*,,,,,,
,Business Administration,10,4,40.0%,,,,,,
,Community Services Worker,*,*,*,,,,,,
,Computer Service Technician,*,*,*,,,,,,
,Computerized Account,*,*,*,,,,,,
,Medical Office Assistant,12,5,41.7%,,,,,,
,Medical Receptionist,*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
"ACADEMY OF LEARNING - TORONTO, FINCH AVENUE WEST Total",,45,24,53.3%,,,,,,
,, ,,,,,,,,
ALGONQUIN CAREERS ACADEMY - MISSISSAUGA,Medical Lab Assistant,13,6,46.2%,,,,,,
,Medical Office Assistant,8,3,37.5%,,,,,,
,Paralegal,21,14,66.7%,,,,,,
,Personal Support Worker,22,12,54.5%,,,,,,
,Pharmacy Technician,6,1,16.7%,,,,,,
ALGONQUIN CAREERS ACADEMY - MISSISSAUGA Total,,70,36,51.4%,,,,,,
,,,,,,,,,,
ALGONQUIN CAREERS ACADEMY - OTTAWA,Accounting And Payroll Administrator,5,2,40.0%,,,,,,
,Medical Office Assist,16,9,56.3%,,,,,,
,Paralegal,5,3,60.0%,,,,,,
,Pharmacy Technician,19,12,63.2%,,,,,,
,Personal Support Worker,12,5,41.7%,,,,,,
ALGONQUIN CAREERS ACADEMY - OTTAWA Total,,57,31,54.4%,,,,,,
,,,,,,,,,,
"ANDERSON COLLEGE OF HEALTH, BUSINESS AND TECHNOLOGY",ECG/Phlebotomy Technician,6,2,33.3%,,,,,,
,Esthetics,8,3,37.5%,,,,,,
,Medical Laboratory Technician,118,56,47.5%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Physiotherapist/Occupational Therapy Assistant,15,7,46.7%,,,,,,
,Personal Support Worker,*,*,*,,,,,,
"ANDERSON COLLEGE OF HEALTH, BUSINESS AND TECHNOLOGY Total",,151,72,47.7%,,,,,,
,,,,,,,,,,
"GATES COLLEGE OF BUSINESS, CULINARY & HC",Accounting And Payroll Administration,*,*,*,,,,,,
,Advanced Business Management,*,*,*,,,,,,
,Child And Youth Worker,7,4,57.1%,,,,,,
,Development Service Worker,*,*,*,,,,,,
,Office Administration,*,*,*,,,,,,
,Personal Support Worker ,16,5,31.3%,,,,,,
,Police Foundations,*,*,*,,,,,,
"GATES COLLEGE OF BUSINESS, CULINARY & HC Total",,32,13,40.6%,,,,,,
,,,,,,,,,,
AUTOMOTIVE TRAINING CENTRE - CAMBRIDGE,Cati Automotive Technology,*,*,*,,,,,,
AUTOMOTIVE TRAINING CENTRE - CAMBRIDGE Total,,*,*,*,,,,,,
,,,,,,,,,,
AUTOMOTIVE TRAINING CENTRE - TORONTO,Automotive Technician,*,*,*,,,,,,
,Fixed Operations Specialist,*,*,*,,,,,,
AUTOMOTIVE TRAINING CENTRE - TORONTO Total,,*,*,*,,,,,,
,,,,,,,,,,
AVOLA COLLEGE OF HAIRSTYLING AND ESTHETICS,Esthetics,6,1,16.7%,,,,,,
,Hairstyling,15,9,60.0%,,,,,,
AVOLA COLLEGE OF HAIRSTYLING AND ESTHETICS Total,,21,10,47.6%,,,,,,
,,,,,,,,,,
BIZTECH INSTITUTE INC,Computer Network And Internet Security Engineering,*,*,*,,,,,,
,Computer Network Administration,*,*,*,,,,,,
,Personal Support Worker,*,*,*,,,,,,
BIZTECH INSTITUTE INC Total,,*,*,*,,,,,,
,,,,,,,,,,
BRYAN COLLEGE OF APPLIED HEALTH AND BUSINESS SCIENCES,Advanced Health Fitness Trainer,11,5,45.5%,,,,,,
,Advanced Professional Spa Therapist,24,8,33.3%,,,,,,
,Massage Therapy,,8,36.4%,,,,,,
,Professional Spa Therapist Diploma,30,12,40.0%,,,,,,
BRYAN COLLEGE OF APPLIED HEALTH AND BUSINESS SCIENCES Total,,87,33,37.9%,,,,,,
,, ,,,,,,,,
CANADA'S NATIONAL BALLET SCHOOL,Teacher Training Program,*,*,*,,,,,,
CANADA'S NATIONAL BALLET SCHOOL Total,,*,*,*,,,,,,
,,,,,,,,,,
CANADIAN ALL CARE COLLEGE,Computer Medical Office Administration,*,*,*,,,,,,
,Food Service Worker,*,*,*,,,,,,
,Personal Support Worker,6,3,50.0%,,,,,,
CANADIAN ALL CARE COLLEGE Total,,8,4,50.0%,,,,,,
,,,,,,,,,,
CANADIAN BUSINESS COLLEGE - MISSISSAUGA,Accounting And Payroll Administrator,*,*,*,,,,,,
,Business Management,*,*,*,,,,,,
,E-Business Administration,*,*,*,,,,,,
,Early Childcare Assistant,*,*,*,,,,,,
,Marketing And Digital Media,*,*,*,,,,,,
,Paralegal,9,6,66.7%,,,,,,
,Software Engineer,*,*,*,,,,,,
CANADIAN BUSINESS COLLEGE - MISSISSAUGA Total,,17,9,52.9%,,,,,,
,,,,,,,,,,
CANADIAN BUSINESS COLLEGE - SCARBOROUGH,Accounting And Payroll Administrator,7,2,28.6%,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Business Management,*,*,*,,,,,,
,Database Administrator,*,*,*,,,,,,
,Digital Media - Web Designer,*,*,*,,,,,,
,Early Childcare Assistant,11,6,54.5%,,,,,,
,Marketing And Digital Media,*,*,*,,,,,,
,Network Engineering,*,*,*,,,,,,
,Paralegal,5,1,20.0%,,,,,,
,Software Engineering,*,*,*,,,,,,
CANADIAN BUSINESS COLLEGE - SCARBOROUGH Total,,37,17,45.9%,,,,,,
,,,,,,,,,,
"CANADIAN BUSINESS COLLEGE - TORONTO, BLOOR ST.",Accounting And Payroll Administrator,8,4,50.0%,,,,,,
,Accounting Assistant,*,*,*,,,,,,
,Administration Assistant,*,*,*,,,,,,
,Business Management,23,16,69.6%,,,,,,
,Community Services Worker,*,*,*,,,,,,
,Database Administrator,*,*,*,,,,,,
,Digital Media Web Designer,*,*,*,,,,,,
,Law Clerk,*,*,*,,,,,,
,Marketing And Digital Media,*,*,*,,,,,,
,Medical And Health Administration,*,*,*,,,,,,
,Paralegal,19,10,52.6%,,,,,,
,Police Foundations,*,*,*,,,,,,
,Software Engineering,*,*,*,,,,,,
"CANADIAN BUSINESS COLLEGE - TORONTO, BLOOR ST. Total",,67,37,55.2%,,,,,,
,,,,,,,,,,
CANADIAN CAREER COLLEGE - MISSISSAUGA ,Early Childcare Assistant,17,8,47.1%,,,,,,
,Medical Office Administration,10,7,70.0%,,,,,,
,Business Analysis Project and Service Management,7,5,71.4%,,,,,,
,Data Warehouse And Business Intelligence,*,*,*,,,,,,
CANADIAN CAREER COLLEGE - MISSISSAUGA Total,,35,21,60.0%,,,,,,
,,,,,,,,,,
CANADIAN CAREER COLLEGE - SCARBOROUGH,Office Administration Medical,*,*,*,,,,,,
CANADIAN CAREER COLLEGE - SCARBOROUGH Total,,*,*,*,,,,,,
,,,,,,,,,,
CANADIAN CAREER COLLEGE - TORONTO,Systems Testing Engineering,*,*,*,,,,,,
CANADIAN CAREER COLLEGE - TORONTO Total,,*,*,*,,,,,,
,,,,,,,,,,
"CANADIAN COLLEGE OF BUS., SCIENCE AND TECHNOLOGY - BRAMPTON",Accounting And Payroll Administration,*,*,*,,,,,,
,Business Administration,*,*,*,,,,,,
,Home Inspection Certificate,*,*,*,,,,,,
,Home Inspection Diploma,5,4,80.0%,,,,,,
,Medical Office Assist (Cmap Direct),*,*,*,,,,,,
,Network Administrator,*,*,*,,,,,,
,Paralegal,7,5,71.4%,,,,,,
,Personal Support Worker,*,*,*,,,,,,
"CANADIAN COLLEGE OF BUSINESS, SCIENCE AND TECHNOLOGY - BRAMPTON Total",,21,12,57.1%,,,,,,
,,,,,,,,,,
"CANADIAN COLLEGE OF BUS., SCIENCE AND TECHNOLOGY - SCARBOROUGH",Accounting And Payroll - Business Administration,*,*,*,,,,,,
"CANADIAN COLLEGE OF BUSINESS, SCIENCE AND TECHNOLOGY - SCARBOROUGH TOTAL",,*,*,*,,,,,,
,,,,,,,,,,
CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY ,Massage And Hydrotherapy,23,17,73.9%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Personal Support Worker,7,4,57.1%,,,,,,
,Physiotherapist Assistant,8,3,37.5%,,,,,,
,Technical  Support Analyst,*,*,*,,,,,,
CANADIAN COLLEGE OF HEALTH SCIENCE AND TECHNOLOGY - Total,,44,27,61.4%,,,,,,
,,,,,,,,,,
CANADIAN COLLEGE OF MASSAGE AND HYDROTHERAPY - DOWNSVIEW,Massage And Hydrotherapy,29,9,31.0%,,,,,,
CANADIAN COLLEGE OF MASSAGE AND HYDROTHERAPY - DOWNSVIEW Total,,29,9,31.0%,,,,,,
,,,,,,,,,,
CANADIAN COLLEGE OF MASSAGE AND HYDROTHERAPY - KITCHENER,Massage And Hydrotherapy,30,10,33.3%,,,,,,
CANADIAN COLLEGE OF MASSAGE AND HYDROTHERAPY - KITCHENER Total,,30,10,33.3%,,,,,,
,,,,,,,,,,
CANADIAN MOTHERCRAFT SOCIETY,Early Childhood Education Diploma Bridge Training Program,37,18,48.6%,,,,,,
CANADIAN MOTHERCRAFT SOCIETY Total,,37,18,48.6%,,,,,,
,,,,,,,,,,
CANADIAN SCHOOL OF PRIVATE INVESTIGATION AND SECURITY,Private Investigation,*,*,*,,,,,,
CANADIAN SCHOOL OF PRIVATE INVESTIGATION AND SECURITY - Total,,*,*,*,,,,,,
,,,,,,,,,,
CDI COLLEGE - AJAX,Accounting And Payroll Administration,8,5,62.5%,,,,,,
,Accounting Assistant Bookkeeper ,*,*,*,,,,,,
,Addictions And Community Service Worker,*,*,*,,,,,,
,Business Management,*,*,*,,,,,,
,Business Administration,11,5,45.5%,,,,,,
,Information Systems Support Specialist,*,*,*,,,,,,
,Medical Office Administration,21,6,28.6%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Paralegal-Advocate,15,11,73.3%,,,,,,
,Personal Support Worker,8,2,25.0%,,,,,,
,Pharmacy Assistant,12,6,50.0%,,,,,,
CDI COLLEGE - AJAX Total,,83,40,48.2%,,,,,,
,,,,,,,,,,
CDI COLLEGE - HAMILTON,Account And Payroll Administration ,*,*,*,,,,,,
,Addictions And Community Service Worker,5,1,20.0%,,,,,,
,Business Administration,5,2,40.0%,,,,,,
,Legal Administration Assistant,*,*,*,,,,,,
,Medical Office Administration,12,4,33.3%,,,,,,
,Network Database Administration,*,*,*,,,,,,
,Office Administration Executive,*,*,*,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
CDI COLLEGE - HAMILTON Total,,30,11,36.7%,,,,,,
,,,,,,,,,,
CDI COLLEGE - MISSISSAUGA,Accounting And Payroll Administration ,8,6,75.0%,,,,,,
,Addictions And Community Service Worker,23,14,60.9%,,,,,,
,Business Administration,10,3,30.0%,,,,,,
,Graphic Technician Specialist,7,3,42.9%,,,,,,
,Information Systems Support Specialist,5,2,40.0%,,,,,,
,Legal Administration Assistant,*,*,*,,,,,,
,Medical Office Administration,21,12,57.1%,,,,,,
,Network Systems Engineer,*,*,*,,,,,,
,Network Systems Administration,8,1,12.5%,,,,,,
,Personal Support Worker,15,10,66.7%,,,,,,
,Pharmacy Assistant,5,1,20.0%,,,,,,
CDI COLLEGE - MISSISSAUGA Total,,110,56,50.9%,,,,,,
,,,,,,,,,,
CDI COLLEGE - SCARBOROUGH,Accounting And Payroll Administration,6,3,50.0%,,,,,,
,Addictions And Community Service Worker,6,2,33.3%,,,,,,
,Business Management,*,*,*,,,,,,
,Business Administration,*,*,*,,,,,,
,Information Systems Support Specialist,*,*,*,,,,,,
,Legal Administration Assistant,*,*,*,,,,,,
,Medical Office Administration,*,*,*,,,,,,
,Network Database Administration,*,*,*,,,,,,
,Network Systems Engineer,*,*,*,,,,,,
,Office Administration Executive,*,*,*,,,,,,
,Personal Support Worker,*,*,*,,,,,,
,Pharmacy Assistant,5,2,40.0%,,,,,,
CDI COLLEGE - SCARBOROUGH Total,,36,14,38.9%,,,,,,
,,,,,,,,,,
CDI COLLEGE - NORTH YORK,Accounting And Payroll Administration,*,*,*,,,,,,
,Addictions And Community Service Worker,*,*,*,,,,,,
,Business Management,*,*,*,,,,,,
,Business Administration,7,4,57.1%,,,,,,
,Medical Office Administration,*,*,*,,,,,,
,Personal Support Worker,6,2,33.3%,,,,,,
,Pharmacy Assistant ,5,4,80.0%,,,,,,
CDI COLLEGE - NORTH YORK Total,,28,13,46.4%,,,,,,
,,,,,,,,,,
CDI COLLEGE - TORONTO,Accounting And Payroll Administration ,11,6,54.5%,,,,,,
,Addictions And Community Service Worker,21,17,81.0%,,,,,,
,Business Management,*,*,*,,,,,,
,Business Administration,9,8,88.9%,,,,,,
,Game Development And Design,*,*,*,,,,,,
,Medical Office Administration,18,9,50.0%,,,,,,
,Medical Office Assistant,*,*,*,,,,,,
,Network Systems Administration,8,3,37.5%,,,,,,
,Network Systems Engineer,*,*,*,,,,,,
,Office Assistant,*,*,*,,,,,,
,Personal Support Worker,12,8,66.7%,,,,,,
CDI COLLEGE - TORONTO Total,,86,53,61.6%,,,,,,
,,,,,,,,,,
CITI COLLEGE OF CANADIAN CAREERS - MISSISSAUGA,Medical Office Assistant,*,*,*,,,,,,
CITI COLLEGE OF CANADIAN CAREERS - MISSISSAUGA Total,,*,*,*,,,,,,
,,,,,,,,,,
CITI COLLEGE OF CANADIAN CAREERS - TORONTO,Accounting And Payroll Administration,*,*,*,,,,,,
,Business Administration,5,2,40.0%,,,,,,
,Computerized Accounting,*,*,*,,,,,,
,Community Service Worker,25,16,64.0%,,,,,,
,Enterprise Network Engineer,24,11,45.8%,,,,,,
,Medical Office Assistant,6,5,83.3%,,,,,,
,Network Engineering,6,3,50.0%,,,,,,
CITI COLLEGE OF CANADIAN CAREERS - TORONTO Total,,72,37,51.4%,,,,,,
,, ,,,,,,,,
CJ HEALTH CARE COLLEGE,Community Services Worker,*,*,*,,,,,,
,Computer Medical Office Assistant,10,6,60.0%,,,,,,
,Medical Laboratory Assistant Technician,14,6,42.9%,,,,,,
,Personal Support Worker,21,9,42.9%,,,,,,
,Pharmacy Technician,5,5,100.0%,,,,,,
,Pharmacy Assistant,*,*,*,,,,,,
CJ HEALTHCARE COLLEGE Total,,56,30,53.6%,,,,,,
,,,,,,,,,,
"CLI COLLEGE OF BUSINESS, HEALTH AND TECHNOLOGY",Developmental Service Worker,8,3,37.5%,,,,,,
,Personal Support Worker,5,5,100.0%,,,,,,
"CLI COLLEGE OF BUSINESS, HEALTH AND TECHNOLOGY Total",,13,8,61.5%,,,,,,
,,,,,,,,,,
COMPLECTIONS INTERNATIONAL CANADA LTD.,The Complete Makeup Artist Program,27,7,25.9%,,,,,,
,The Comprehensive Makeup Artist Program,*,*,*,,,,,,
COMPLECTIONS INTERNATIONAL CANADA LTD. Total,,31,9,29.0%,,,,,,
,,,,,,,,,,
COMPUTEK COLLEGE - MARKHAM,Personal Support Worker,6,0,0.0%,,,,,,
COMPUTEK COLLEGE - MARKHAM Total,,6,0,0.0%,,,,,,
,,,,,,,,,,
COMPUTEK COLLEGE - SCARBOROUGH,Computerized Accounting,*,*,*,,,,,,
,Early Childcare Assistant,*,*,*,,,,,,
,Medical Office Administration,*,*,*,,,,,,
COMPUTEK COLLEGE - SCARBOROUGH Total,,5,1,20.0%,,,,,,
,,,,,,,,,,
COMPUTEK COLLEGE - TORONTO,Computerized Accounting,*,*,*,,,,,,
,Personal Support Worker,8,1,12.5%,,,,,,
COMPUTEK COLLEGE - TORONTO Total,,12,2,16.7%,,,,,,
,,,,,,,,,,
CTS CANADIAN CAREER COLLEGE - BARRIE,Addictions Intervention Counsellor,*,*,*,,,,,,
,Community Services Worker,8,2,25.0%,,,,,,
,Medical Office Administrator,7,1,14.3%,,,,,,
,Office And Payroll Administrator,*,*,*,,,,,,
,Office Administrator,8,3,37.5%,,,,,,
,Paralegal,38,19,50.0%,,,,,,
,Paramedic,38,9,23.7%,,,,,,
,Personal Support Worker,13,4,30.8%,,,,,,
,Pharmacy Technician,6,4,66.7%,,,,,,
,Police Foundations,12,4,33.3%,,,,,,
CTS CANADIAN CAREER COLLEGE - BARRIE Total,,134,47,35.1%,,,,,,
,,,,,,,,,,
CTS CANADIAN CAREER COLLEGE - NORTH BAY,Addictions Intervention Counselling,15,8,53.3%,,,,,,
,Community Services Worker,19,7,36.8%,,,,,,
,Medical Office Administrator,19,6,31.6%,,,,,,
,Network Engineering Technologist,7,1,14.3%,,,,,,
,Office And Payroll Administrator,7,5,71.4%,,,,,,
,Office Administrator,*,*,*,,,,,,
,Paralegal,*,*,*,,,,,,
,Paramedic,12,8,66.7%,,,,,,
,Personal Support Worker,43,18,41.9%,,,,,,
,Pharmacy Technician,10,5,50.0%,,,,,,
,Police Foundations,7,4,57.1%,,,,,,
CTS CANADIAN CAREER COLLEGE INC - NORTH BAY Total,,144,65,45.1%,,,,,,
,,,,,,,,,,
CTS CANADIAN CAREER COLLEGE - SUDBURY,Addictions Intervention Counselling,*,*,*,,,,,,
,Community Services Worker,12,2,16.7%,,,,,,
,Medical Office Administrator,11,3,27.3%,,,,,,
,Network Engineering Technologist,8,2,25.0%,,,,,,
,Office And Payroll Administrator,6,5,83.3%,,,,,,
,Office Administrator,*,*,*,,,,,,
,Paralegal,17,7,41.2%,,,,,,
,Paramedic,14,6,42.9%,,,,,,
,Personal Support Worker,11,4,36.4%,,,,,,
,Pharmacy Technician,15,10,66.7%,,,,,,
,Police Foundations,6,2,33.3%,,,,,,
CTS CANADIAN CAREER COLLEGE - SUDBURY Total,,106,43,40.6%,,,,,,
,,,,,,,,,,
D'ARCY LANE INCORPORATED,Equine Massage Therapy,*,*,*,,,,,,
,Massage Therapy,12,2,16.7%,,,,,,
D'ARCY LANE INCORPORATED Total,,14,2,14.3%,,,,,,
,,,,,,,,,,
ELEGANCE SCHOOL OF ESTHETICS,Esthetics,*,*,*,,,,,,
,Hairstyling,7,4,57.1%,,,,,,
,Massage Therapy,8,3,37.5%,,,,,,
,Physiotherapist Assistant,8,2,25.0%,,,,,,
ELEGANCE SCHOOL OF ESTHETICS Total,,24,9,37.5%,,,,,,
,,,,,,,,,,
ELEGANCE SCHOOLS INC - LONDON,Esthetics,15,6,40.0%,,,,,,
,Esthetics/Electrolysis ,*,*,*,,,,,,
ELEGANCE SCHOOLS Total,,16,6,37.5%,,,,,,
,,,,,,,,,,
EVEREST COLLEGE - BARRIE,Accounting And Payroll Administration,12,2,16.7%,,,,,,
,Addictions And Community Services Worker,41,16,39.0%,,,,,,
,Business Administration,10,3,30.0%,,,,,,
,Dental Office And Chairside Assistant,5,3,60.0%,,,,,,
,Executive Office Assistant,5,2,40.0%,,,,,,
,Intra Oral Dental Assistant,15,8,53.3%,,,,,,
,Law Enforcement Foundations,16,4,25.0%,,,,,,
,Massage Therapy,8,4,50.0%,,,,,,
,Medical Laboratory Assistant Technician,46,23,50.0%,,,,,,
,Medical Office Administrator,32,16,50.0%,,,,,,
,Network Administrator,5,3,60.0%,,,,,,
,Personal Support Worker,56,15,26.8%,,,,,,
