2015 OSAP Repayment Assistance Participation Rates by Program,,,,,,,,,
Ontario Universities,,,,,,,,,
,,,,,,,,,
INSTITUTION NAME,PROGRAM NAME,# of Borrowers 2012-13 (1),# of 12-13 Borrowers who received Repayment Assistance (2),2015 Repayment Assistance Participation Rate (3),,,,,
,Other Arts and Science,33,16,48.5%,,,,,
,Other Education,5,2,40.0%,,,,,
,Other Health Professions,142,56,39.4%,,,,,
,Physical Sciences,29,11,37.9%,,,,,
,Social Sciences,767,279,36.4%,,,,,
RYERSON UNIVERSITY Total,,"4,125","1,442",35.0%,,,,,
,,,,,,,,,
TRENT UNIVERSITY,Agricultural And Biological Sciences,17,7,41.2%,,,,,
,Business and Commerce,60,20,33.3%,,,,,
,Education (Teacher Training),160,49,30.6%,,,,,
,Nursing,127,41,32.3%,,,,,
,Other Arts and Science,814,339,41.6%,,,,,
,Social Sciences,5,2,40.0%,,,,,
TRENT UNIVERSITY Total,,"1,183",458,38.7%,,,,,
,,,,,,,,,
UNIVERSITY OF GUELPH,Agricultural And Biological Sciences,475,106,22.3%,,,,,
,Architecture And Landscape Architecture,29,8,27.6%,,,,,
,Business and Commerce,452,128,28.3%,,,,,
,Computer Science,57,11,19.3%,,,,,
,Engineering,122,18,14.8%,,,,,
,Fine And Applied Arts,90,30,33.3%,,,,,
,Food Science And Nutrition,343,126,36.7%,,,,,
,Humanities,240,76,31.7%,,,,,
,"Kinesiology, Recreation And Physical Education",116,34,29.3%,,,,,
,Mathematics,31,12,38.7%,,,,,
,Not Applicable/ No Code,6,1,16.7%,,,,,
,Not Reported,31,7,22.6%,,,,,
,Other Arts and Science,130,42,32.3%,,,,,
,Other Health Professions,12,3,25.0%,,,,,
,Physical Sciences,36,8,22.2%,,,,,
,Social Sciences,610,198,32.5%,,,,,
,Veterinary Medicine,97,11,11.3%,,,,,
UNIVERSITY OF GUELPH Total,,"2,877",819,28.5%,,,,,
,,,,,,,,,
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY,Agricultural And Biological Sciences,60,21,35.0%,,,,,
,Business and Commerce,205,88,42.9%,,,,,
,Computer Science,99,15,15.2%,,,,,
,Education (Teacher Training),117,37,31.6%,,,,,
,Engineering,306,96,31.4%,,,,,
,Humanities,38,17,44.7%,,,,,
,Mathematics,*,*,*,,,,,
,Nursing,116,34,29.3%,,,,,
,Other Arts and Science,*,*,*,,,,,
,Other Health Professions,140,50,35.7%,,,,,
,Physical Sciences,28,10,35.7%,,,,,
,Social Sciences,226,90,39.8%,,,,,
UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY Total,,"1,340",459,34.3%,,,,,
,,,,,,,,,
UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA,Agricultural And Biological Sciences,24,9,37.5%,,,,,
,Business and Commerce,317,90,28.4%,,,,,
,Computer Science,30,9,30.0%,,,,,
,Education (Teacher Training),400,99,24.8%,,,,,
,Engineering,238,76,31.9%,,,,,
,Fine And Applied Arts,54,21,38.9%,,,,,
,Food Science And Nutrition,5,1,20.0%,,,,,
,Humanities,18,11,61.1%,,,,,
,"Kinesiology, Recreation And Physical Education",103,27,26.2%,,,,,
,Law,214,62,29.0%,,,,,
,Medicine,99,4,4.0%,,,,,
,Not Applicable/ No Code,16,1,6.3%,,,,,
,Nursing,181,42,23.2%,,,,,
,Other Arts and Science,863,314,36.4%,,,,,
,Other Health Professions,108,35,32.4%,,,,,
,Physical Sciences,11,4,36.4%,,,,,
,Social Sciences,863,307,35.6%,,,,,
,Therapy And Rehabilitation,13,0,0.0%,,,,,
UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA Total,,"3,557","1,112",31.3%,,,,,
,,,,,,,,,
UNIVERSITY OF TORONTO,Architecture And Landscape Architecture,86,25,29.1%,,,,,
,Business and Commerce,613,171,27.9%,,,,,
,Computer Science,228,58,25.4%,,,,,
,Dentistry,70,1,1.4%,,,,,
,Education (Teacher Training),478,137,28.7%,,,,,
,Engineering,238,52,21.8%,,,,,
,Fine And Applied Arts,63,19,30.2%,,,,,
,Forestry,12,4,33.3%,,,,,
,Humanities,113,41,36.3%,,,,,
,"Kinesiology, Recreation And Physical Education",68,18,26.5%,,,,,
,Law,109,13,11.9%,,,,,
,Medicine,165,9,5.5%,,,,,
,Nursing,108,19,17.6%,,,,,
,Other Arts and Science,5084,"1,737",34.2%,,,,,
,Other Education,174,63,36.2%,,,,,
,Other Health Professions,120,34,28.3%,,,,,
,Pharmacy,202,32,15.8%,,,,,
,Social Sciences,275,62,22.5%,,,,,
,Theology,30,14,46.7%,,,,,
,Therapy And Rehabilitation,118,13,11.0%,,,,,
UNIVERSITY OF TORONTO Total,,"8,354","2,522",30.2%,,,,,
,,,,,,,,,
UNIVERSITY OF WATERLOO,Architecture And Landscape Architecture,67,18,26.9%,,,,,
,Business and Commerce,337,37,11.0%,,,,,
,Computer Science,189,23,12.2%,,,,,
,Engineering,661,82,12.4%,,,,,
,"Kinesiology, Recreation And Physical Education",180,31,17.2%,,,,,
,Mathematics,220,54,24.5%,,,,,
,Optometry,44,4,9.1%,,,,,
,Other Arts and Science,1368,432,31.6%,,,,,
,Other Health Professions,11,3,27.3%,,,,,
,Pharmacy,97,7,7.2%,,,,,
,Social Sciences,68,18,26.5%,,,,,
UNIVERSITY OF WATERLOO Total,,"3,242",709,21.9%,,,,,
,,,,,,,,,
UNIVERSITY OF WINDSOR,Agricultural And Biological Sciences,61,18,29.5%,,,,,
,Business and Commerce,208,83,39.9%,,,,,
,Computer Science,40,12,30.0%,,,,,
,Education (Teacher Training),250,91,36.4%,,,,,
,Engineering,125,32,25.6%,,,,,
,Fine And Applied Arts,73,33,45.2%,,,,,
,Humanities,144,50,34.7%,,,,,
,"Kinesiology, Recreation And Physical Education",76,29,38.2%,,,,,
,Law,125,28,22.4%,,,,,
,Mathematics,10,4,40.0%,,,,,
,Nursing,109,36,33.0%,,,,,
,Other Arts and Science,214,91,42.5%,,,,,
,Physical Sciences,17,2,11.8%,,,,,
,Social Sciences,438,214,48.9%,,,,,
UNIVERSITY OF WINDSOR Total,,"1,890",723,38.3%,,,,,
,,,,,,,,,
WESTERN UNIVERSITY,Business and Commerce,254,32,12.6%,,,,,
,Dentistry,55,3,5.5%,,,,,
,Education (Teacher Training),349,108,30.9%,,,,,
,Engineering,205,39,19.0%,,,,,
,Fine And Applied Arts,82,31,37.8%,,,,,
,Food Science And Nutrition,64,31,48.4%,,,,,
,Humanities,129,38,29.5%,,,,,
,Journalism,12,7,58.3%,,,,,
,"Kinesiology, Recreation And Physical Education",127,21,16.5%,,,,,
,Law,106,25,23.6%,,,,,
,Medicine,111,5,4.5%,,,,,
,Nursing,161,29,18.0%,,,,,
,Other Arts and Science,1721,536,31.1%,,,,,
,Other Education,17,6,35.3%,,,,,
,Other Health Professions,94,34,36.2%,,,,,
,Social Sciences,253,84,33.2%,,,,,
,Theology,*,*,*,,,,,
,Therapy And Rehabilitation,103,17,16.5%,,,,,
WESTERN UNIVERSITY Total,,"3,847","1,047",27.2%,,,,,
,,,,,,,,,
WILFRID LAURIER UNIVERSITY,Business and Commerce,409,74,18.1%,,,,,
,Education (Teacher Training),52,14,26.9%,,,,,
,Fine And Applied Arts,34,12,35.3%,,,,,
,Journalism,20,8,40.0%,,,,,
,Other Arts and Science,1007,291,28.9%,,,,,
,Other Health Professions,33,8,24.2%,,,,,
,Social Sciences,312,83,26.6%,,,,,
,Theology,11,4,36.4%,,,,,
WILFRID LAURIER UNIVERSITY Total,,"1,878",494,26.3%,,,,,
,,,,,,,,,
YORK UNIVERSITY,Agricultural And Biological Sciences,8,2,25.0%,,,,,
,Business and Commerce,867,280,32.3%,,,,,
,Computer Science,146,45,30.8%,,,,,
,Education (Teacher Training),339,127,37.5%,,,,,
,Engineering,29,6,20.7%,,,,,
,Fine And Applied Arts,266,98,36.8%,,,,,
,Humanities,*,*,*,,,,,
,"Kinesiology, Recreation And Physical Education",274,104,38.0%,,,,,
,Law,156,34,21.8%,,,,,
,Not Applicable/ No Code,9,4,44.4%,,,,,
,Nursing,314,137,43.6%,,,,,
,Other Arts and Science,4133,"1,790",43.3%,,,,,
,Social Sciences,436,189,43.3%,,,,,
YORK UNIVERSITY Total,,"6,980","2,818",40.4%,,,,,
,,,,,,,,,
ONTARIO UNIVERSITIES Total,,"52,623","16,408",31.2%,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
