"","institutionName","programName","numOfBorrowers","receivedAssistance","AssistanceParticipationRate"
"135","UNIVERSITY OF GUELPH","Physical Sciences",36,8,22.2
"136","UNIVERSITY OF GUELPH","Social Sciences",610,198,32.5
"137","UNIVERSITY OF GUELPH","Veterinary Medicine",97,11,11.3
"138","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Agricultural And Biological Sciences",60,21,35
"139","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Business and Commerce",205,88,42.9
"140","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Computer Science",99,15,15.2
"141","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Education (Teacher Training)",117,37,31.6
"142","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Engineering",306,96,31.4
"143","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Humanities",38,17,44.7
"145","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Nursing",116,34,29.3
"147","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Other Health Professions",140,50,35.7
"148","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Physical Sciences",28,10,35.7
"149","UNIVERSITY OF ONTARIO INSTITUTE OF TECHNOLOGY","Social Sciences",226,90,39.8
"150","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Agricultural And Biological Sciences",24,9,37.5
"151","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Business and Commerce",317,90,28.4
"152","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Computer Science",30,9,30
"153","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Education (Teacher Training)",400,99,24.8
"154","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Engineering",238,76,31.9
"155","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Fine And Applied Arts",54,21,38.9
"156","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Food Science And Nutrition",5,1,20
"157","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Humanities",18,11,61.1
"158","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Kinesiology, Recreation And Physical Education",103,27,26.2
"159","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Law",214,62,29
"160","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Medicine",99,4,4
"161","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Not Applicable/ No Code",16,1,6.3
"162","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Nursing",181,42,23.2
"163","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Other Arts and Science",863,314,36.4
"164","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Other Health Professions",108,35,32.4
"165","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Physical Sciences",11,4,36.4
"166","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Social Sciences",863,307,35.6
"167","UNIVERSITY OF OTTAWA/UNIVERSITE D'OTTAWA","Therapy And Rehabilitation",13,0,0
"168","UNIVERSITY OF TORONTO","Architecture And Landscape Architecture",86,25,29.1
"169","UNIVERSITY OF TORONTO","Business and Commerce",613,171,27.9
"170","UNIVERSITY OF TORONTO","Computer Science",228,58,25.4
"171","UNIVERSITY OF TORONTO","Dentistry",70,1,1.4
"172","UNIVERSITY OF TORONTO","Education (Teacher Training)",478,137,28.7
"173","UNIVERSITY OF TORONTO","Engineering",238,52,21.8
"174","UNIVERSITY OF TORONTO","Fine And Applied Arts",63,19,30.2
"175","UNIVERSITY OF TORONTO","Forestry",12,4,33.3
"176","UNIVERSITY OF TORONTO","Humanities",113,41,36.3
"177","UNIVERSITY OF TORONTO","Kinesiology, Recreation And Physical Education",68,18,26.5
"178","UNIVERSITY OF TORONTO","Law",109,13,11.9
"179","UNIVERSITY OF TORONTO","Medicine",165,9,5.5
"180","UNIVERSITY OF TORONTO","Nursing",108,19,17.6
"181","UNIVERSITY OF TORONTO","Other Arts and Science",5084,1737,34.2
"182","UNIVERSITY OF TORONTO","Other Education",174,63,36.2
"183","UNIVERSITY OF TORONTO","Other Health Professions",120,34,28.3
"184","UNIVERSITY OF TORONTO","Pharmacy",202,32,15.8
"185","UNIVERSITY OF TORONTO","Social Sciences",275,62,22.5
"186","UNIVERSITY OF TORONTO","Theology",30,14,46.7
"187","UNIVERSITY OF TORONTO","Therapy And Rehabilitation",118,13,11
"188","UNIVERSITY OF WATERLOO","Architecture And Landscape Architecture",67,18,26.9
"189","UNIVERSITY OF WATERLOO","Business and Commerce",337,37,11
"190","UNIVERSITY OF WATERLOO","Computer Science",189,23,12.2
"191","UNIVERSITY OF WATERLOO","Engineering",661,82,12.4
"192","UNIVERSITY OF WATERLOO","Kinesiology, Recreation And Physical Education",180,31,17.2
"193","UNIVERSITY OF WATERLOO","Mathematics",220,54,24.5
"194","UNIVERSITY OF WATERLOO","Optometry",44,4,9.1
"195","UNIVERSITY OF WATERLOO","Other Arts and Science",1368,432,31.6
"196","UNIVERSITY OF WATERLOO","Other Health Professions",11,3,27.3
"197","UNIVERSITY OF WATERLOO","Pharmacy",97,7,7.2
"198","UNIVERSITY OF WATERLOO","Social Sciences",68,18,26.5
"199","UNIVERSITY OF WINDSOR","Agricultural And Biological Sciences",61,18,29.5
"200","UNIVERSITY OF WINDSOR","Business and Commerce",208,83,39.9
"201","UNIVERSITY OF WINDSOR","Computer Science",40,12,30
"202","UNIVERSITY OF WINDSOR","Education (Teacher Training)",250,91,36.4
"203","UNIVERSITY OF WINDSOR","Engineering",125,32,25.6
"204","UNIVERSITY OF WINDSOR","Fine And Applied Arts",73,33,45.2
"205","UNIVERSITY OF WINDSOR","Humanities",144,50,34.7
"206","UNIVERSITY OF WINDSOR","Kinesiology, Recreation And Physical Education",76,29,38.2
"207","UNIVERSITY OF WINDSOR","Law",125,28,22.4
"208","UNIVERSITY OF WINDSOR","Mathematics",10,4,40
"209","UNIVERSITY OF WINDSOR","Nursing",109,36,33
"210","UNIVERSITY OF WINDSOR","Other Arts and Science",214,91,42.5
"211","UNIVERSITY OF WINDSOR","Physical Sciences",17,2,11.8
"212","UNIVERSITY OF WINDSOR","Social Sciences",438,214,48.9
"213","WESTERN UNIVERSITY","Business and Commerce",254,32,12.6
"214","WESTERN UNIVERSITY","Dentistry",55,3,5.5
"215","WESTERN UNIVERSITY","Education (Teacher Training)",349,108,30.9
"216","WESTERN UNIVERSITY","Engineering",205,39,19
"217","WESTERN UNIVERSITY","Fine And Applied Arts",82,31,37.8
"218","WESTERN UNIVERSITY","Food Science And Nutrition",64,31,48.4
"219","WESTERN UNIVERSITY","Humanities",129,38,29.5
"220","WESTERN UNIVERSITY","Journalism",12,7,58.3
"221","WESTERN UNIVERSITY","Kinesiology, Recreation And Physical Education",127,21,16.5
"222","WESTERN UNIVERSITY","Law",106,25,23.6
"223","WESTERN UNIVERSITY","Medicine",111,5,4.5
"224","WESTERN UNIVERSITY","Nursing",161,29,18
"225","WESTERN UNIVERSITY","Other Arts and Science",1721,536,31.1
"226","WESTERN UNIVERSITY","Other Education",17,6,35.3
"227","WESTERN UNIVERSITY","Other Health Professions",94,34,36.2
"228","WESTERN UNIVERSITY","Social Sciences",253,84,33.2
"230","WESTERN UNIVERSITY","Therapy And Rehabilitation",103,17,16.5
"231","WILFRID LAURIER UNIVERSITY","Business and Commerce",409,74,18.1
"232","WILFRID LAURIER UNIVERSITY","Education (Teacher Training)",52,14,26.9
"233","WILFRID LAURIER UNIVERSITY","Fine And Applied Arts",34,12,35.3
"234","WILFRID LAURIER UNIVERSITY","Journalism",20,8,40
"235","WILFRID LAURIER UNIVERSITY","Other Arts and Science",1007,291,28.9
"236","WILFRID LAURIER UNIVERSITY","Other Health Professions",33,8,24.2
"237","WILFRID LAURIER UNIVERSITY","Social Sciences",312,83,26.6
"238","WILFRID LAURIER UNIVERSITY","Theology",11,4,36.4
"239","YORK UNIVERSITY","Agricultural And Biological Sciences",8,2,25
"240","YORK UNIVERSITY","Business and Commerce",867,280,32.3
"241","YORK UNIVERSITY","Computer Science",146,45,30.8
"242","YORK UNIVERSITY","Education (Teacher Training)",339,127,37.5
"243","YORK UNIVERSITY","Engineering",29,6,20.7
"244","YORK UNIVERSITY","Fine And Applied Arts",266,98,36.8
"246","YORK UNIVERSITY","Kinesiology, Recreation And Physical Education",274,104,38
"247","YORK UNIVERSITY","Law",156,34,21.8
"248","YORK UNIVERSITY","Not Applicable/ No Code",9,4,44.4
"249","YORK UNIVERSITY","Nursing",314,137,43.6
"250","YORK UNIVERSITY","Other Arts and Science",4133,1790,43.3
"251","YORK UNIVERSITY","Social Sciences",436,189,43.3
